Adress,Date,Project,Project Minted,First Minter,Late Minter
0x1Cd2278A4d15477B03Ce8130Ed381D9dAD84384d,3/11/2024,1,1,0.5,0
0x85f2629da29fEB22186503fb78117eC131D33eb9,03/10/2024,2,1,0,0
0x2BA1D521595C5B31B177fD5263F8B002F570E92a,03/10/2024,2,1,0,0
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,03/10/2024,2,1,0,0
0x51D2bF026Fde1Ce087c178d9cE3F91FdEbF054E6,03/10/2024,2,1,0,0
0x29b85b666a45a50C358FE5e43fBbc9FF1bA792E1,3/11/2024,2,1,0,0
0x53e17E794c576819B5E9c26be2C3d3ebD404a679,5/16/2024,2,1,0,0.5
0xDAf7BBe20724d2dD7717E0E09a06B572C3A112DE,3/12/2024,3,1,0,0
0x36fb66ea97A342c0f43CAB3045004C17bc15546a,3/12/2024,3,1,0,0
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,3/12/2024,3,1,0,0
0x9970a71Bbd7ce3fD9db7AB2552D55b9bC90925A3,3/12/2024,3,1,0,0
0xeb19BFB054173101087390C35DE06eb1eFf4C1e4,3/14/2024,3,1,0,0
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,4/15/2024,4,1,0.5,0
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,4/15/2024,5,1,0.5,0
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,4/22/2024,6,1,0.5,0
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,5/3/2024,7,1,0.5,0.5
0x2BA1D521595C5B31B177fD5263F8B002F570E92a,5/10/2024,8,1,0,0.5
0x05F761AacD63e4e96Bf98f0fE5614De5Ba90856C,5/11/2024,8,1,0,0.5
0xa1Ae3838d292baE5e2578950f1e6Ec94071FE9a7,5/11/2024,8,1,0,0.5
0xb91b3DEc63690356BDfc2d664cdAE19b3D96e5a1,5/16/2024,8,1,0,0.5
0x0E7c3700B3ad9e741D787eC1dF337A6c71D45b57,5/17/2024,8,1,0,0.5
0xa9A19D2Ac90bCa89FF58bDA3C98eA3E6500B09C3,5/21/2024,8,1,0,0.5
0x88B0BE658E72C5518B37cE0A5625D3fD494dBAFA,6/26/2024,9,1,0.5,0.5
0x29b85b666a45a50C358FE5e43fBbc9FF1bA792E1,6/27/2024 11:21:00,9,1,0,0.5
